time cpu-1-0 cpu-1-128 cpu-1-256 cpu-1-512 cpu-1-1024
1 7.51% 673.78% 1065.36% 1546.41% 2141.36%
2 0.82% 87.44% 98.77% 96.76% 111.08%
3 0.21% 94.66% 99.98% 99.70% 104.88%
4 0.17% 90.28% 99.95% 99.76% 109.30%
5 0.17% 96.90% 99.91% 99.71% 102.61%
6 0.76% 95.75% 101.04% 100.77% 104.84%
7 0.25% 90.07% 98.98% 98.44% 106.15%
8 0.13% 94.09% 99.47% 99.85% 105.44%
9 0.08% 98.56% 100.05% 99.98% 101.12%
10 0.19% 90.18% 99.89% 99.34% 109.31%
11 0.16% 96.56% 100.53% 100.69% 102.97%
12 0.13% 97.30% 100.00% 99.97% 102.24%
13 0.11% 97.35% 99.97% 99.95% 102.05%
14 0.11% 97.97% 100.01% 99.99% 101.61%
15 0.12% 97.85% 99.99% 99.99% 101.76%
16 0.21% 96.47% 100.00% 100.02% 102.86%
17 0.22% 90.12% 99.98% 99.97% 109.39%
18 0.17% 92.95% 99.74% 99.16% 106.40%
19 0.09% 97.36% 100.24% 100.81% 102.24%
20 0.14% 95.13% 100.00% 100.01% 104.38%
21 0.17% 93.70% 100.01% 99.97% 105.90%
22 0.18% 97.36% 99.99% 100.00% 102.06%
23 0.10% 97.24% 99.80% 99.99% 102.22%
24 0.11% 94.63% 100.19% 99.98% 104.99%
25 0.24% 94.69% 99.95% 99.99% 103.54%
26 0.13% 98.41% 99.04% 99.98% 101.17%
27 0.14% 96.35% 100.96% 99.93% 103.39%
28 0.16% 86.30% 99.71% 98.96% 111.08%
29 0.13% 85.91% 100.08% 100.26% 112.85%
30 0.72% 96.57% 99.75% 99.41% 100.82%
31 0.05% 95.13% 100.22% 100.51% 105.35%
32 0.16% 94.85% 99.32% 99.24% 105.76%
33 0.08% 95.23% 100.68% 99.73% 102.42%
34 0.09% 88.63% 99.99% 99.96% 109.68%
35 0.10% 95.00% 99.87% 100.01% 105.45%
36 0.12% 94.76% 99.63% 99.02% 103.86%
37 0.07% 99.61% 103.48% 104.31% 107.53%
38 0.12% 88.88% 95.99% 96.37% 102.10%
39 0.07% 94.93% 100.05% 99.67% 104.35%
40 0.09% 93.33% 100.95% 100.54% 107.25%
41 0.10% 98.37% 99.05% 99.98% 101.15%
42 0.10% 96.01% 99.98% 99.01% 102.76%
43 0.10% 95.42% 96.13% 101.08% 108.04%
44 0.20% 99.45% 93.39% 99.95% 106.14%
45 0.09% 99.62% 95.75% 100.08% 104.54%
46 0.14% 99.55% 94.45% 99.94% 105.21%
47 0.09% 99.38% 96.33% 100.12% 103.82%
48 0.14% 98.49% 97.61% 99.85% 101.36%
49 0.08% 99.67% 91.80% 99.55% 108.81%
50 0.12% 99.69% 92.97% 100.43% 107.27%
51 0.10% 99.63% 97.14% 100.00% 102.48%
52 0.23% 99.40% 97.92% 99.99% 102.22%
53 0.13% 99.44% 98.56% 100.01% 101.27%
54 0.12% 99.02% 97.07% 100.06% 103.03%
55 0.14% 99.58% 96.66% 99.93% 102.64%
56 0.15% 99.69% 99.67% 99.99% 101.05%
57 0.11% 99.49% 97.86% 99.91% 102.10%
58 0.16% 98.72% 93.94% 100.00% 105.46%
59 0.15% 99.52% 96.26% 100.06% 104.21%
60 0.24% 99.32% 97.18% 99.90% 102.84%
61 0.11% 99.55% 96.24% 99.99% 102.89%
62 0.13% 99.61% 98.83% 100.00% 101.08%
63 0.11% 99.46% 96.42% 100.00% 103.41%
64 0.19% 99.54% 95.16% 100.00% 105.04%
65 0.19% 99.34% 96.60% 100.07% 103.05%
66 0.12% 99.53% 95.56% 100.02% 104.41%
67 0.20% 99.41% 97.04% 99.86% 102.24%
68 0.11% 99.61% 98.71% 99.99% 101.98%
69 0.79% 98.85% 96.93% 99.00% 101.20%
70 0.05% 99.29% 96.77% 100.35% 103.79%
71 0.05% 99.76% 89.89% 100.63% 110.15%
72 0.07% 99.61% 97.11% 99.99% 102.95%
73 0.11% 99.60% 96.05% 99.34% 102.59%
74 0.05% 99.77% 97.90% 100.39% 103.18%
75 0.07% 98.84% 94.30% 99.85% 105.74%
76 0.13% 97.08% 100.98% 100.37% 102.68%
77 0.04% 93.92% 98.99% 99.00% 104.15%
78 0.06% 97.72% 100.87% 100.52% 102.02%
79 0.04% 93.01% 99.86% 100.49% 107.75%
80 0.09% 97.83% 99.77% 98.96% 101.79%
81 0.06% 97.68% 100.44% 101.21% 102.32%
82 0.07% 84.49% 99.25% 99.26% 113.59%
83 0.08% 98.05% 100.20% 100.29% 101.38%
84 0.10% 94.78% 99.43% 100.00% 104.77%
85 0.08% 90.90% 100.54% 99.01% 108.68%
86 0.22% 88.27% 99.29% 100.35% 111.09%
87 0.08% 83.07% 100.41% 100.06% 114.48%
88 0.07% 85.96% 98.37% 101.06% 112.96%
89 0.15% 83.18% 99.69% 99.07% 113.86%
90 0.13% 93.00% 99.88% 100.03% 106.77%
91 0.12% 93.36% 99.49% 99.64% 105.92%
92 0.08% 91.46% 100.32% 100.17% 107.57%
93 0.17% 93.17% 100.15% 100.90% 107.28%
94 0.92% 94.12% 99.39% 98.45% 103.29%
95 0.05% 94.24% 100.28% 100.49% 105.43%
