time cpu-1-0 cpu-1-1024 cpu-1-1024 cpu-1-1024 cpu-1-1024
1 4.16% 383.80% 436.30% 478.57% 540.58%
2 0.33% 99.98% 99.74% 99.65% 99.39%
3 0.16% 99.76% 99.71% 99.75% 99.98%
4 0.09% 99.62% 99.58% 99.89% 100.27%
5 0.17% 99.86% 99.74% 99.76% 100.15%
6 0.19% 100.21% 99.63% 99.77% 99.78%
7 0.11% 99.73% 99.72% 99.72% 99.89%
8 0.10% 100.43% 99.86% 99.76% 99.43%
9 0.25% 99.83% 99.77% 99.70% 100.63%
10 0.14% 99.66% 99.49% 99.77% 99.54%
11 0.13% 100.13% 99.80% 99.82% 100.15%
12 0.14% 99.79% 99.77% 99.81% 100.13%
13 0.17% 100.30% 99.82% 99.78% 99.57%
14 0.14% 99.61% 99.78% 99.77% 99.63%
15 0.16% 99.97% 99.05% 99.74% 99.96%
16 0.10% 99.80% 99.89% 99.87% 100.00%
17 0.20% 100.12% 99.76% 99.76% 100.47%
18 0.18% 99.81% 99.76% 99.76% 99.78%
19 0.18% 100.45% 99.75% 99.75% 100.25%
20 0.19% 99.52% 99.76% 99.75% 99.93%
21 0.13% 100.46% 99.71% 99.77% 99.98%
22 0.12% 99.50% 99.82% 99.81% 99.32%
23 0.13% 99.47% 99.48% 99.79% 100.56%
24 0.18% 99.74% 99.81% 99.78% 99.62%
25 0.30% 100.32% 99.72% 99.57% 99.72%
26 0.14% 99.47% 98.95% 99.67% 99.96%
27 0.21% 100.16% 99.85% 99.76% 100.30%
28 0.20% 100.73% 100.35% 101.22% 102.59%
29 1.63% 98.87% 99.17% 96.68% 97.09%
30 0.24% 100.32% 99.70% 99.72% 100.28%
31 0.16% 99.62% 99.49% 99.65% 100.05%
32 0.14% 99.99% 99.75% 99.78% 99.64%
33 0.13% 99.92% 99.59% 99.59% 100.60%
34 0.13% 100.37% 99.80% 99.76% 99.61%
35 0.21% 99.78% 99.72% 99.69% 99.87%
36 0.27% 100.17% 99.81% 99.74% 100.00%
37 0.15% 99.77% 99.69% 99.69% 100.13%
38 0.17% 99.86% 99.84% 99.78% 99.30%
39 0.14% 100.08% 99.70% 99.07% 100.97%
40 0.18% 99.66% 99.64% 99.33% 99.33%
41 0.20% 100.16% 99.72% 99.73% 99.65%
42 0.16% 100.02% 99.82% 99.80% 100.35%
43 0.14% 99.39% 99.78% 99.79% 100.00%
44 0.18% 100.56% 99.80% 99.69% 99.85%
45 0.13% 99.92% 99.74% 99.76% 99.72%
46 0.15% 99.42% 99.32% 99.79% 100.05%
47 0.11% 100.29% 100.13% 99.82% 100.92%
48 0.50% 99.66% 99.43% 99.45% 99.50%
49 0.16% 99.45% 99.79% 99.80% 100.37%
50 0.45% 100.34% 99.80% 99.49% 99.21%
51 0.05% 99.81% 99.92% 99.94% 100.21%
52 0.05% 99.77% 99.90% 99.91% 99.53%
53 0.05% 99.96% 99.89% 99.93% 100.24%
54 0.05% 99.85% 99.90% 99.91% 99.72%
55 0.04% 100.07% 99.87% 99.94% 100.35%
56 0.05% 100.04% 99.88% 99.92% 99.64%
57 0.05% 99.62% 99.83% 99.91% 100.40%
58 0.06% 99.87% 99.88% 99.92% 100.05%
59 0.05% 100.52% 99.93% 99.94% 100.03%
60 0.15% 99.43% 99.89% 99.82% 99.39%
61 0.06% 99.98% 99.85% 99.92% 100.24%
62 0.06% 99.98% 99.91% 99.93% 99.81%
63 0.05% 100.38% 99.89% 99.94% 100.44%
64 0.07% 99.66% 99.23% 99.91% 99.48%
65 0.05% 100.16% 99.92% 100.01% 100.37%
66 0.06% 99.70% 99.78% 99.83% 99.88%
67 0.05% 100.14% 99.89% 99.93% 99.81%
68 0.14% 99.79% 99.89% 99.85% 99.74%
69 0.22% 100.07% 99.76% 99.79% 100.45%
70 0.12% 98.86% 99.34% 99.62% 99.76%
71 0.16% 99.89% 99.77% 99.71% 99.85%
72 0.13% 99.99% 99.80% 99.79% 100.14%
73 0.14% 100.39% 99.84% 99.81% 99.81%
74 0.10% 99.48% 99.86% 99.84% 99.89%
75 0.13% 99.92% 99.92% 99.90% 99.72%
76 0.15% 100.34% 99.77% 99.72% 100.62%
77 0.21% 99.60% 99.54% 99.71% 99.65%
78 0.17% 99.95% 99.79% 99.77% 99.64%
79 0.14% 100.48% 99.83% 99.81% 99.87%
80 0.11% 99.56% 99.85% 99.86% 100.11%
81 0.12% 99.83% 99.84% 99.83% 99.86%
82 0.14% 99.77% 99.80% 99.80% 99.95%
83 0.15% 99.90% 99.78% 99.78% 99.98%
84 0.15% 100.09% 99.59% 99.74% 100.26%
85 0.13% 99.49% 99.82% 99.79% 99.69%
86 0.15% 100.04% 99.78% 99.76% 100.05%
87 0.15% 100.40% 99.31% 99.76% 100.14%
88 0.19% 99.91% 99.72% 99.73% 99.70%
89 0.12% 99.51% 99.64% 99.77% 100.65%
